Function,File,Line,Time (s),Relative Scale (×min)
__init__,c:\Users\HP\Desktop\agentWordle\yudi.py,30,0.000031,32.50
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,152,0.000004,4.00
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000004,3.75
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,18,0.000023,24.50
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,152,0.000002,2.25
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000002,2.50
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,18,0.000010,10.75
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,160,0.000051,54.00
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,14,0.000001,1.25
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\module.py,6,0.000001,1.25
construct_simple_worker_procedural_memory,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\memory\procedural_memory.py,6,0.000055,58.00
reset,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,53,0.000076,79.25
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,20,0.000088,92.50
reset,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,74,0.000200,209.50
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,51,0.000218,228.25
create_agent,c:\Users\HP\Desktop\agentWordle\yudi.py,57,0.000306,320.50
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,152,0.000002,2.25
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000002,2.25
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,18,0.000011,11.75
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000002,2.00
_create_agent,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\module.py,10,0.000018,18.50
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,152,0.000002,1.75
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000002,2.00
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,18,0.000009,9.50
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000002,1.75
_create_agent,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\module.py,10,0.000015,16.00
screenshot,c:\Users\HP\Desktop\agentWordle\yudi.py,39,0.000062,65.25
run_task,c:\Users\HP\Desktop\agentWordle\yudi.py,76,0.000413,433.25
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000007,7.50
generate_next_action,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,101,0.000075,78.75
predict,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,84,0.000107,111.75
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000003,3.50
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000375,393.25
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000404,424.00
